agency,role,PL,CL,Life,score,NPS,is_easy,comments,category
4927,Producer,Personal Lines,,,9,Neutral,Somewhat Agree,Rate increases and changes with Grange,
21312,Customer Service Representative (CSR),Personal Lines,,,4,Neutral,Somewhat Agree,"The interfacing of PL business is somewhat smooth.  Sometimes when I sign in, I have to do it several times before I can get in.  I will make sure all sign in info is correct, however I usually have to input my login info several times before the site lets me in.",
2232,Producer,Personal Lines,,,8,Promoter,Agree,I am still learning the quoting system but so far is seems pretty friendly,Positive
4057,Producer,Personal Lines,,,9,Promoter,Somewhat Agree,Underwriting has tightened recently,
3284,Customer Service Representative (CSR),Personal Lines,,,7,Detractor,Agree,Your rating system is easy to use and your rates are very competitive,Positive
3401876,Customer Service Representative (CSR),Personal Lines,Commercial Lines,Life,10,Promoter,Agree,Sometimes endorsement processing can be slow,Process
4987,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,Good overall experience with Grange both as an agent and as an insured.  Ease of use on website.,Positive
45024,Customer Service Representative (CSR),Personal Lines,,,8,Detractor,Somewhat Agree,At this time Grange rates are not competitive.  I like the company and the representatives are always very helpful. It is the rates that stop me from using Grange.,
4176,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,Grange is very easy to work with & the website if wonderful,Positive
2101069,Customer Service Representative (CSR),Personal Lines,,,9,Detractor,Somewhat Agree,"Grange Insurance does not seem to be a good fit for the territory that our agency is in, the rates are usually not competitive with our other carriers",
1063,Principal,Personal Lines,Commercial Lines,Life,7,Detractor,Neither Agree nor Disagree,Commission reduction on selected products.,
2085,Producer,,,Life,10,Promoter,Strongly Agree,Great Broker Service!,
4927,Producer,,Commercial Lines,,9,Neutral,Somewhat Agree,I think Grange is getting better but I would like to see a little more flexibility on the commercial business,
2156,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Agree,gOOD COMAPN,Positive
3401199,Producer,Personal Lines,,,5,Promoter,Somewhat Disagree,having to contact underwriting and email proof of prior before we can upload policies is a inconvienance,
2025,Producer,Personal Lines,,,9,Detractor,Somewhat Disagree,"Grange rates are not competitive within our agency, however I do find their website easy to use.",
48625,Principal,Personal Lines,Commercial Lines,,9,Promoter,Agree,,
4765,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Somewhat Disagree,The stand that Grange has taken with Commercial Package business has not made it easy to write commercial business.,
3701546,Principal,Personal Lines,Commercial Lines,,9,Promoter,Agree,"They are easy to write with, underwriter is great.",Positive
48377,Customer Service Representative (CSR),,Commercial Lines,,8,Neutral,Agree,Outstanding claims handling.  Working with underwriter.  Ease of doing business.,Positive
1601452,Principal,Personal Lines,,,9,Promoter,Agree,,
22344,Producer,Personal Lines,,,9,Promoter,Strongly Agree,Integrity is very user friendly and has competitive pricing so easy to sell.,
4774,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,Grange quoting system is very easy to quote. Our underwriter Breanne Young is always available and quick to respond. Grange is very fair in handling claims and issues.,Positive
1001012,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,great automation,
4211,Principal,Personal Lines,,,9,Promoter,Agree,I like Grange Very Much  they are my #1,Positive
1001025,Principal,Personal Lines,,Life,10,Promoter,Strongly Agree,.,
4303,Producer,Personal Lines,,,7,Neutral,Somewhat Agree,Grange offers great service and competitive pricing.,
1031,Principal,,Commercial Lines,,8,Neutral,Agree,"On personal lines, HO rates still very high and does not allow for high hit rate on HO or AUTO/HO packages.  On commercial lines, BOP's and small business is excellent!  However, because I didn't have but 7 larger accounts, you cancelled those and I can't write larger accounts with you anymore.   Was hurtful after about 15 years senior partner.   The rating site is great but I still have glitches fairly often on the personal lines.   Might be my computer.  But yes, easy to do business.",Service
4501067,Producer,Personal Lines,Commercial Lines,,7,Detractor,Somewhat Disagree,PAST ISSUES WITH UNDERWRITING REGARDING HOME POLICIES,
3901171,Customer Service Representative (CSR),Personal Lines,,,5,Neutral,Somewhat Agree,some areas of system are hard to navigate. Overall rates are competitive,
4416,Principal,Personal Lines,Commercial Lines,Life,9,Neutral,Agree,,
21144,Other,Personal Lines,,,7,Neutral,Somewhat Agree,Website is easy to use,Positive
48529,Producer,Personal Lines,,,5,Neutral,Agree,"The personal lines home and auto a ""true"" package one billing. Coverage and rate is the  determining factor.",Positive
1601327,Producer,Personal Lines,Commercial Lines,,10,Promoter,Agree,,
1201001,Other,,,Life,9,Promoter,Agree,The products that Grange offer its clients seems to be a good fit.,Positive
4101262,Customer Service Representative (CSR),Personal Lines,,,5,Detractor,Neither Agree nor Disagree,premiums and the experience we have in the agency,
2013,Producer,Personal Lines,,,10,Promoter,Strongly Agree,"Grange is overall coming in best at times for my clients, I like the Grange products and the ease of the on-line quoting. I'd recommend Grange to my clients definitely.",
22131,Customer Service Representative (CSR),,Commercial Lines,,8,Neutral,Agree,b,Positive
1001115,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,the entire process from application to payment is so easy,
514,Producer,,Commercial Lines,,10,Promoter,Strongly Agree,"No carrier is easier to make changes, get quotes, make payments online.  The online experience is unmatched as far as ease of use.",
1301822,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,"The website is easy to use and I'm easily able to find what I need (documents, billing information).",
3701460,Principal,Personal Lines,,,5,Promoter,Agree,I have a problem with your computer system - it is not user friendly,Positive
4810,Principal,Personal Lines,,,10,Neutral,Somewhat Agree,,
21059,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Agree,Grange's claim service is great. also computer systems make it doing business with Grange easy.,Positive
4415,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,This is our go to company first for quotes,Positive
4377,Principal,Personal Lines,Commercial Lines,Life,9,Neutral,Agree,"Decent claim service, competitive rates, underwriters are consumer orientated. Coverages meet today's expectation from our customers and are very flexible.",Positive
4280,Other,Personal Lines,,,10,Promoter,Agree,"Grange has great rates, great coverage options, and great customer service!",Positive
1601007,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,10,Neutral,Agree,The lack of rate stability has been a problem.,Positive
6095,Producer,Personal Lines,,Life,9,Promoter,Agree,With some of the most recent changes and previous client acceptence Grange has been very acceptable to liston and in MOST cases been able to help me with my clients.,Positive
3901250,Producer,,,Life,10,Promoter,Strongly Agree,"Anytime I have a question or an issue on a case and call in to Grange, I usually get someone on the line. They are courteous & knowledgeable. The service I receive from Grange is great!",
4797,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,I have written several Grange home & auto policies lately. Very Competitive rates!!,Positive
4101000,Principal,Personal Lines,Commercial Lines,Life,8,Promoter,Strongly Agree,payment plan's excellent claim service wish I could write all my clients in Grange,
22143,Principal,,Commercial Lines,,10,Promoter,Somewhat Agree,underwriting response time,
4623,Producer,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,Ease of use!,
1301125,Other,,Commercial Lines,,8,Neutral,Agree,Good coverage easy to do business,Positive
22508,Producer,Personal Lines,Commercial Lines,,9,Neutral,Somewhat Agree,In most. cases the premiums are not competitive. Other carriers have equal coverage and cheaper rates.,
3701146,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,The ease of use with the quoting process is a huge plus.  Grange is also very competitive with rates.,Positive
3401605,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Agree,Overall experience with Grange and the website,Positive
820,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,Grange is easy to access and Underwriters are super! Website is user friendly.,Positive
1001189,Producer,Personal Lines,Commercial Lines,,5,Neutral,Somewhat Agree,computer system is not the best user friendly.,
48107,Producer,,Commercial Lines,,6,Promoter,Agree,,
1125,Principal,Personal Lines,Commercial Lines,,8,Neutral,Somewhat Agree,,
